X,Y,ID,UMKM,KEC.,USAHA,TK_TETAP,TK_LEPAS,IJIN,PEMASARAN,PEMASARA_1,JUMLAH PEM,OMZET,LONG,LAT
303916.223656614,9154949.72134722,5779,E WERDININGSIH,Kroya,Jamu,3,0,,102060,0,102060,102060,109.222438499999996,-7.641321485000000
304335.314669451,9154865.36120908,5781,TUSINAH,Kroya,Bahan Pokok,2,0,SIUP/TDP,100000,0,100000,100000,109.226233300000004,-7.642099834000000
306826.827177216,9154896.41488913,5782,SUGIYANTO,Kroya,Sepeda,6,0,,100000,0,100000,100000,109.248813600000005,-7.641911245000000
302262.567134115,9155934.90793077,5783,HARJITO,Kroya,Sale Pisang (goreng),4,0,Depkes RI 116.11.09.99,100000,0,100000,100000,109.207489699999996,-7.632352204000000
305330.343312776,9153473.05307234,5784,BAHRUDIN,Kroya,Perajin Tempe,4,0,,99504,0,99504,99504,109.235198900000000,-7.654725185000000
302050.947862884,9153596.74857075,5785,NASIPAH,Kroya,Bahan Pokok,9,0,SIUP/TDP,99500,0,99500,99500,109.205483700000002,-7.653484111000000
307535.106229365,9156205.64318446,5786,ALI MAKSUM,Kroya,Perajin Tempe,4,0,,98784,0,98784,98784,109.255280400000004,-7.630099861000000
305354.166364759,9153556.39085816,5788,SARIYAH,Kroya,Bahan Pokok,2,0,SIUP/TDP,95000,0,95000,95000,109.235417900000002,-7.653972580000000
302265.493707146,9157611.29706906,5789,KAISAH,Kroya,Bahan Pokok,2,0,SIUP/TDP,94848,0,94848,94848,109.207579300000006,-7.617195645000000
303947.708115592,9155891.04227576,5790,TUSINAH,Kroya,Batik,2,0,,92400,0,92400,92400,109.222758999999996,-7.632811867000000
305319.66139241,9156999.90077289,5794,RAMBATIYAH,Kroya,Bahan Pokok,2,0,SIUP/TDP,90000,0,90000,90000,109.235232999999994,-7.622837184000000
305206.919300861,9155877.31896204,5796,MOHAMAD ARIFIN,Kroya,Sabut,3,0,,90000,0,90000,90000,109.234169699999995,-7.632982716000000
301329.288595706,9157609.77007564,5801,NANO,Kroya,Kesed Sabut Kelapa,3,0,SIUP/TDP,86400,0,86400,86400,109.199095600000007,-7.617174256000000
301807.326312981,9157412.16267069,5804,AMSORI,Kroya,Perajin Tempe,3,0,,82368,0,82368,82368,109.203419999999994,-7.618978864000000
308763.579625063,9155555.64143895,5805,CHALIMI,Kroya,Perajin Tempe,3,0,,82368,0,82368,82368,109.266389500000002,-7.636021660000000
308752.782397736,9156657.88418874,5812,SUDIARJO,Kroya,Perajin Tempe,4,0,,82368,0,82368,82368,109.266331800000003,-7.626055291000000
302826.393463601,9154375.05533068,5816,NIKMAH,Kroya,Batik,2,0,,79200,0,79200,79200,109.212540500000003,-7.646476424000000
305749.785581308,9156840.41412352,5817,BARUDIN,Kroya,Perajin Tempe,4,0,,78912,0,78912,78912,109.239124899999993,-7.624295046000000
305846.43716289,9154125.63318389,5822,SAMINO,Kroya,Bahan Pokok,5,0,SIUP/TDP,76000,0,76000,76000,109.239900300000002,-7.648844068000000
301644.878090522,9157400.71682241,5824,SURYANI,Kroya,Bahan Pokok,3,0,SIUP/TDP,76000,0,76000,76000,109.201947500000003,-7.619076238000000
307603.082160044,9159678.79771217,5827,ADNO,Kroya,Kesed Ranjau,7,0,,75000,0,75000,75000,109.256023400000004,-7.598699816000000
305899.339710493,9154097.73743774,5828,PUJI RAHARJO,Kroya,Kesed Sabut Kelapa,4,0,,75000,0,75000,75000,109.240378699999994,-7.649098241000000
305081.459415876,9155057.57291691,5830,MUSLIHUDIN SUKAR,Kroya,Bahan Pokok,5,0,SIUP/TDP,73500,0,73500,73500,109.233002299999995,-7.640389705000000
306064.491398234,9158908.2760814,5835,SARANA RESIK UD,Kroya,Bahan Pokok,2,0,SIUP TDP,72000,0,72000,72000,109.242052999999999,-7.605610207000000
303585.477067873,9158935.18510319,5836,"DAM ""BAYQUA""",Kroya,DAM,6,0,SIUP TDP,72000,0,72000,72000,109.219590100000005,-7.605275284000000
308371.588206852,9159353.80025555,5843,DONI,Kroya,Perajin Tahu,2,0,,70013,0,70013,70013,109.262975499999996,-7.601666214000000
307725.967248562,9156393.19558052,5844,MAD SUMARTO,Kroya,Perajin Tahu,3,0,,70013,0,70013,70013,109.257016899999996,-7.628411082000000
306801.795123,9156193.28689917,5845,MARBANI,Kroya,Perajin Tempe,4,0,,68688,0,68688,68688,109.248634499999994,-7.630184713000000
308692.390849191,9159722.55159214,5846,NARSUDI,Kroya,Perajin Tempe,3,0,,68688,0,68688,68688,109.265895900000004,-7.598343755000000
307207.840592974,9154566.63307871,5851,SARKENI,Kroya,Perajin Tempe,4,0,,68688,0,68688,68688,109.252254399999998,-7.644906950000000
306849.119756033,9155707.69663184,5856,SUNARTI,Kroya,Batik,2,0,,66000,0,66000,66000,109.249045499999994,-7.634576895000000
304893.789870901,9159480.82821859,5857,Drs. NUR HUDA,Kroya,Toko Kelontong,3,0,,64190,0,64190,64190,109.231465700000001,-7.600390415000000
